Merk;Prijs;Aantal deuren;Aantal stoelen;Adverteerder;Bouwjaar;Bovag garantie;Brandstof;Carrosserie;Kenteken;Kilometerstand;Kleur;Model;Motorinhoud;NAP Nationale Auto Pas;Opties;Transmissie;Vermogen
['Ferrari'];[55000.0];['2'];['2'];['Bedrijf'];['1990'];['Nee'];['Benzine'];['Coupé'];;['54173'];['Rood'];['Mondial'];['3405'];['Nee'];['Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Alarm, Mistlampen, Startonderbreker'];['Handgeschakeld'];['302']
['Ferrari'];[66500.0];['2'];['2'];['Bedrijf'];['2001'];['Nee'];['Benzine'];['Cabriolet'];['56-HJ-RJ'];['93574'];['Overige kleuren'];['360'];['3586'];['Ja'];['ABS, Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Open dak'];['Automaat'];['400']
['Ferrari'];[77456.0];['2'];['4'];['Bedrijf'];['2000'];['Nee'];['Benzine'];['Coupé'];['79-ZJ-BK'];['49000'];['Zilver of Grijs'];['456'];['5474'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Metallic lak, Sportstoelen, Stoelverwarming, Climate control, Alarm, Elektrische buitenspiegels, Elektrische stoelverstelling, Startonderbreker, Traction-control'];['Automaat'];['442']
['Ferrari'];[59450.0];['2'];['2'];['Bedrijf'];['1999'];['Nee'];['Benzine'];['Coupé'];;['78255'];['Zilver of Grijs'];['360'];['3586'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Navigatiesysteem, Parkeersensor, Sportstoelen'];['Automaat'];['400']
['Ferrari'];[64360.0];['2'];;['Bedrijf'];['1999'];['Nee'];['Benzine'];['Coupé'];['PK-487-N'];['66318'];['Rood'];['360'];['3586'];['Nee'];['ABS, Airbags, Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Sportstoelen'];['Automaat'];['400']
['Ferrari'];[139500.0];['2'];['4'];['Particulier'];['2010'];;['Benzine'];['Cabriolet'];['95-SLG-2'];['47611'];['Zwart'];['California'];['4297'];;['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Stoelverwarming, Cruise Control, Climate control'];;['460']
['Ferrari'];[1000.0];;;;['1987'];['Nee'];['Benzine'];['Coupé'];;;['Rood'];['328'];;['Nee'];;['Handgeschakeld'];
['Ferrari'];[1000.0];;;;['1979'];['Nee'];['Benzine'];['Coupé'];;;['Rood'];['308'];;['Nee'];;['Handgeschakeld'];
['Ferrari'];[63500.0];;;['Particulier'];['1991'];;['Benzine'];['Coupé'];;['23000'];['Rood'];['348'];['3400'];;['Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Sportstoelen'];['Handgeschakeld'];
['Ferrari'];[337500.0];['2'];['2'];['Bedrijf'];['2014'];['Nee'];['Benzine'];['Coupé'];['9-TST-88'];['9511'];['Overige kleuren'];['458'];['4497'];['Ja'];['Lichtmetalen velgen, Sportstoelen'];['Automaat'];['600']
